idx	T	rep	seed	E	C	M2	A
8	0.9200000000	8	16901234	-1.4222551244	0.9924467694	0.4956937364	0.2939770182
9	0.9300000000	1	16176050	-1.4122109808	1.0397457602	0.4836721346	0.2970667318
9	0.9300000000	2	16280779	-1.4131969475	1.0423215138	0.4844037585	0.2968099609
9	0.9300000000	3	16385508	-1.4141734065	1.0099413778	0.4907495246	0.2967087891
9	0.9300000000	4	16490237	-1.4149024678	1.0196388063	0.4897242967	0.2966428385
9	0.9300000000	5	16594966	-1.4150343848	0.9922733064	0.4915480510	0.2967416016
9	0.9300000000	6	16699695	-1.4130890494	1.0122087873	0.4884234169	0.2969156250
9	0.9300000000	7	16804424	-1.4138071315	1.0123042343	0.4882056533	0.2968945312
9	0.9300000000	8	16909153	-1.4148331303	1.0024277778	0.4900919444	0.2966651693
10	0.9400000000	1	16183969	-1.4035888581	1.0224011076	0.4769920336	0.2998390625
10	0.9400000000	2	16288698	-1.4010579012	1.0483410113	0.4730540485	0.3003756510
10	0.9400000000	3	16393427	-1.4035824969	1.0531033711	0.4780402740	0.2999066406
10	0.9400000000	4	16498156	-1.4037928774	1.0531047326	0.4776724646	0.2998537109
10	0.9400000000	5	16602885	-1.4022255861	1.0454613435	0.4773238436	0.3001230469
10	0.9400000000	6	16707614	-1.4019789338	1.0334913823	0.4757332815	0.3001367839
10	0.9400000000	7	16812343	-1.4053716899	1.0356022284	0.4826041091	0.2995633464
10	0.9400000000	8	16917072	-1.4038112597	1.0457617516	0.4780805198	0.2998940104
11	0.9500000000	1	16191888	-1.3929982454	1.0769971256	0.4665067544	0.3032378255
11	0.9500000000	2	16296617	-1.3929517499	1.0521624235	0.4676767588	0.3030393880
11	0.9500000000	3	16401346	-1.3894596597	1.1174257264	0.4599588327	0.3036515625
11	0.9500000000	4	16506075	-1.3915425434	1.0805627724	0.4667609585	0.3034453776
11	0.9500000000	5	16610804	-1.3903881056	1.0978518972	0.4641052001	0.3036063802
11	0.9500000000	6	16715533	-1.3937465716	1.0392509086	0.4695010291	0.3029943359
11	0.9500000000	7	16820262	-1.3929105945	1.0909172282	0.4685329056	0.3031621745
11	0.9500000000	8	16924991	-1.3943920908	1.0242357767	0.4717541543	0.3029986979
12	0.9600000000	1	16199807	-1.3843442490	1.0729666553	0.4634868558	0.3059375651
12	0.9600000000	2	16304536	-1.3819097513	1.0761368559	0.4589496815	0.3066460937
12	0.9600000000	3	16409265	-1.3825558149	1.0665892141	0.4636932409	0.3064815104
12	0.9600000000	4	16513994	-1.3827306750	1.0793201908	0.4596073552	0.3062953776
12	0.9600000000	5	16618723	-1.3822921435	1.0821655615	0.4605512299	0.3064447266
12	0.9600000000	6	16723452	-1.3828176253	1.0998146498	0.4591926187	0.3063667969
12	0.9600000000	7	16828181	-1.3819504724	1.0978924853	0.4585626001	0.3063328125
12	0.9600000000	8	16932910	-1.3829894282	1.0883221158	0.4607963908	0.3064339193
13	0.9700000000	1	16207726	-1.3706613980	1.1442616448	0.4468561212	0.3100417969
13	0.9700000000	2	16312455	-1.3705020064	1.1359407207	0.4498517013	0.3097391927
13	0.9700000000	3	16417184	-1.3707458631	1.0924550417	0.4514560797	0.3100437500
13	0.9700000000	4	16521913	-1.3712748167	1.0945469239	0.4483697551	0.3096836589
13	0.9700000000	5	16626642	-1.3718488810	1.1082510076	0.4520578695	0.3096610677
13	0.9700000000	6	16731371	-1.3696181182	1.1451945525	0.4454349733	0.3100957682
13	0.9700000000	7	16836100	-1.3709377686	1.1112503780	0.4466912438	0.3098889323
13	0.9700000000	8	16940829	-1.3713523808	1.1104097492	0.4475293455	0.3098457682
14	0.9800000000	1	16215645	-1.3592841570	1.2078809798	0.4371395961	0.3133915365
14	0.9800000000	2	16320374	-1.3578450998	1.1470688990	0.4318322876	0.3135326823
14	0.9800000000	3	16425103	-1.3580875714	1.1277399518	0.4357413964	0.3134783203
14	0.9800000000	4	16529832	-1.3605216335	1.1182914134	0.4402264817	0.3133128906
14	0.9800000000	5	16634561	-1.3591662831	1.1960055465	0.4368515201	0.3133367839
14	0.9800000000	6	16739290	-1.3593917244	1.1996459267	0.4370667372	0.3131339844
14	0.9800000000	7	16844019	-1.3602620146	1.1266448043	0.4426588047	0.3132255208
14	0.9800000000	8	16948748	-1.3609697604	1.1660627166	0.4373463963	0.3128632812
15	0.9900000000	1	16223564	-1.3457012524	1.1622696630	0.4255703930	0.3172985677
15	0.9900000000	2	16328293	-1.3475349843	1.1878783415	0.4280852802	0.3167931641
15	0.9900000000	3	16433022	-1.3461266733	1.2360250735	0.4264180842	0.3171898438
15	0.9900000000	4	16537751	-1.3482855231	1.1903207810	0.4283293814	0.3167475911
15	0.9900000000	5	16642480	-1.3484547789	1.1436496040	0.4285083229	0.3164805990
15	0.9900000000	6	16747209	-1.3493675476	1.1968418890	0.4335088387	0.3166145833
15	0.9900000000	7	16851938	-1.3494949337	1.1679346814	0.4294068004	0.3165895833
15	0.9900000000	8	16956667	-1.3464071672	1.1785622896	0.4240700302	0.3173064453
16	1.0000000000	1	16231483	-1.3347070015	1.2626204460	0.4134375465	0.3206753906
16	1.0000000000	2	16336212	-1.3359309499	1.2143684573	0.4141908592	0.3203160807
16	1.0000000000	3	16440941	-1.3340247728	1.2459862302	0.4119318332	0.3207667969
16	1.0000000000	4	16545670	-1.3365578567	1.2525038406	0.4150372734	0.3203998047
16	1.0000000000	5	16650399	-1.3364393945	1.2054641053	0.4156953934	0.3202752604
16	1.0000000000	6	16755128	-1.3364696186	1.2267997101	0.4161027696	0.3203988281
16	1.0000000000	7	16859857	-1.3353085780	1.2413069070	0.4140854748	0.3202907552
16	1.0000000000	8	16964586	-1.3376937347	1.1636558536	0.4188332319	0.3198699219
17	1.0100000000	1	16239402	-1.3213627043	1.2831927585	0.3969614641	0.3247953776
17	1.0100000000	2	16344131	-1.3229360316	1.2300596943	0.4043130347	0.3244386719
17	1.0100000000	3	16448860	-1.3231441394	1.3009559405	0.4035664751	0.3243872396
17	1.0100000000	4	16553589	-1.3232942232	1.2601022968	0.4034532915	0.3243974609
17	1.0100000000	5	16658318	-1.3239672107	1.2327018867	0.4054283583	0.3239897786
17	1.0100000000	6	16763047	-1.3239565275	1.2539729238	0.4038890208	0.3242516276
17	1.0100000000	7	16867776	-1.3238081714	1.2357123366	0.4036348301	0.3242930339
17	1.0100000000	8	16972505	-1.3265051780	1.2260089244	0.4103724233	0.3236839844
18	1.0200000000	1	16247321	-1.3050574634	1.3080567632	0.3814946448	0.3294373047
18	1.0200000000	2	16352050	-1.3136287697	1.2558676042	0.3984889822	0.3273750000
18	1.0200000000	3	16456779	-1.3117914498	1.2264272374	0.3926211888	0.3277287109
18	1.0200000000	4	16561508	-1.3117063381	1.2341931648	0.3924746347	0.3280223307
18	1.0200000000	5	16666237	-1.3130036658	1.2533455959	0.3948528310	0.3274968750
18	1.0200000000	6	16770966	-1.3108992414	1.2808348487	0.3912050115	0.3281372396
18	1.0200000000	7	16875695	-1.3079845852	1.3267543726	0.3851754351	0.3287866536
18	1.0200000000	8	16980424	-1.3123387659	1.2646394643	0.3960406457	0.3276600911
19	1.0300000000	1	16255240	-1.2945264574	1.3715452808	0.3704812920	0.3328856771
19	1.0300000000	2	16359969	-1.3020449369	1.2695113214	0.3869748293	0.3310628255
19	1.0300000000	3	16464698	-1.2972380445	1.3367804302	0.3775284719	0.3321501953
19	1.0300000000	4	16569427	-1.2946325684	1.3772136239	0.3712638567	0.3323419922
19	1.0300000000	5	16674156	-1.2986922277	1.3264697816	0.3795827081	0.3318109375
19	1.0300000000	6	16778885	-1.3002592320	1.3355773090	0.3814726473	0.3314088542
19	1.0300000000	7	16883614	-1.2961894773	1.3786277120	0.3736461933	0.3324772786
19	1.0300000000	8	16988343	-1.2987056776	1.3644598326	0.3792915864	0.3316664062
20	1.0400000000	1	16263159	-1.2794707275	1.3802331813	0.3514528472	0.3370852865
20	1.0400000000	2	16367888	-1.2851404549	1.3391400569	0.3664448477	0.3358014974
20	1.0400000000	3	16472617	-1.2858858741	1.3133382170	0.3686790156	0.3358721354
20	1.0400000000	4	16577346	-1.2827976740	1.4054180789	0.3601856174	0.3363942057
20	1.0400000000	5	16682075	-1.2902773611	1.2575889657	0.3756628565	0.3348544922
20	1.0400000000	6	16786804	-1.2847821947	1.3152758319	0.3650836622	0.3359606120
20	1.0400000000	7	16891533	-1.2826678779	1.3221480319	0.3628028984	0.3364988932
20	1.0400000000	8	16996262	-1.2813147283	1.4091614721	0.3564747288	0.3370180339
21	1.0500000000	1	16271078	-1.2707192481	1.3935632116	0.3521720038	0.3402425781
21	1.0500000000	2	16375807	-1.2712543683	1.3680068978	0.3547249632	0.3401383464
21	1.0500000000	3	16480536	-1.2723545092	1.3574732479	0.3546462876	0.3397108073
21	1.0500000000	4	16585265	-1.2731459176	1.3622802238	0.3537532606	0.3396148437
21	1.0500000000	5	16689994	-1.2734443569	1.4086203297	0.3553388557	0.3396553385
21	1.0500000000	6	16794723	-1.2714877057	1.3157308312	0.3518890301	0.3402516276
21	1.0500000000	7	16899452	-1.2754420744	1.3702052803	0.3576745421	0.3393233073
21	1.0500000000	8	17004181	-1.2684062142	1.4156835623	0.3461580935	0.3408479818
22	1.0600000000	1	16278997	-1.2541122253	1.4001694401	0.3314291652	0.3450719401
22	1.0600000000	2	16383726	-1.2563292341	1.3857430432	0.3348098526	0.3445807943
22	1.0600000000	3	16488455	-1.2578777134	1.3882003775	0.3389758168	0.3442134115
22	1.0600000000	4	16593184	-1.2571769485	1.4371022726	0.3370394848	0.3443503255
22	1.0600000000	5	16697913	-1.2584867354	1.4365290984	0.3417473252	0.3442061849
22	1.0600000000	6	16802642	-1.2569347319	1.3769792162	0.3353234725	0.3445076172
22	1.0600000000	7	16907371	-1.2613080335	1.3760013827	0.3437445608	0.3434673828
22	1.0600000000	8	17012100	-1.2604684357	1.4056815052	0.3417333838	0.3434339844
23	1.0700000000	1	16286916	-1.2414386827	1.4480284450	0.3168352240	0.3490701172
23	1.0700000000	2	16391645	-1.2413252713	1.4645236779	0.3153511975	0.3492419271
23	1.0700000000	3	16496374	-1.2449971864	1.4747191732	0.3263863067	0.3483282552
23	1.0700000000	4	16601103	-1.2422685657	1.4061207812	0.3204547821	0.3489104167
23	1.0700000000	5	16705832	-1.2433728780	1.4479877106	0.3197898881	0.3486955078
23	1.0700000000	6	16810561	-1.2476928197	1.3989460019	0.3321843963	0.3478699870
23	1.0700000000	7	16915290	-1.2418947885	1.4207269794	0.3204804558	0.3490967448
23	1.0700000000	8	17020019	-1.2435516158	1.4309849755	0.3213129586	0.3488351563
24	1.0800000000	1	16294835	-1.2247005488	1.4404210166	0.3019477489	0.3542947917
24	1.0800000000	2	16399564	-1.2264138366	1.4422095954	0.3021338518	0.3536776693
24	1.0800000000	3	16504293	-1.2281929154	1.4632180607	0.3057320321	0.3534960286
24	1.0800000000	4	16609022	-1.2264398756	1.4203022364	0.3022833417	0.3537399089
24	1.0800000000	5	16713751	-1.2257749851	1.4753408666	0.2999357159	0.3540025391
24	1.0800000000	6	16818480	-1.2235950609	1.4929734863	0.2923646270	0.3545384115
24	1.0800000000	7	16923209	-1.2278024859	1.4471270461	0.3072051515	0.3533522135
24	1.0800000000	8	17027938	-1.2238656178	1.4957256373	0.2965686985	0.3542373047
25	1.0900000000	1	16302754	-1.2108701901	1.4906035212	0.2862005370	0.3584287109
25	1.0900000000	2	16407483	-1.2140750879	1.4508203505	0.2894179979	0.3580140625
25	1.0900000000	3	16512212	-1.2150142427	1.4184214385	0.2925357733	0.3572843750
25	1.0900000000	4	16616941	-1.2100499359	1.4682702351	0.2811966868	0.3587355469
25	1.0900000000	5	16721670	-1.2136872185	1.4384816403	0.2896493989	0.3578722005
25	1.0900000000	6	16826399	-1.2151471182	1.4585063525	0.2968593803	0.3574304688
25	1.0900000000	7	16931128	-1.2134284559	1.4352804971	0.2918858071	0.3578986979
25	1.0900000000	8	17035857	-1.2131831628	1.4406616519	0.2917387356	0.3581104167
26	1.1000000000	1	16310673	-1.2015934060	1.4389223787	0.2806610223	0.3619089844
26	1.1000000000	2	16415402	-1.1998344216	1.5135121101	0.2767365153	0.3620134766
26	1.1000000000	3	16520131	-1.1968795764	1.4842123095	0.2705905588	0.3627671224
26	1.1000000000	4	16624860	-1.1976370456	1.4596739415	0.2710076315	0.3627733073
26	1.1000000000	5	16729589	-1.2034151621	1.4477440906	0.2872309339	0.3612766276
26	1.1000000000	6	16834318	-1.1967662031	1.4950473376	0.2691136400	0.3630201823
26	1.1000000000	7	16939047	-1.2011677053	1.4372890842	0.2819534701	0.3618532552
26	1.1000000000	8	17043776	-1.1989151191	1.4541225327	0.2736712664	0.3625526042
