# idx	T	E_mean	E_sem	C_mean	C_sem	M2_mean	M2_sem	A_mean	A_sem	n_rep	Burn_in	Total_Step	Sample
1	0.8500000000	-1.4862857709	0.0002801509	0.8694315178	0.0031145867	0.5068072893	0.0011322615	0.2742882306	0.0000711041	8	2000	15000	4
2	0.8600000000	-1.4775824530	0.0002643513	0.8818620214	0.0056885708	0.4993744360	0.0012983711	0.2769261430	0.0000481944	8	2000	15000	4
3	0.8700000000	-1.4687572146	0.0001907649	0.9002895236	0.0028219024	0.4932682955	0.0006541662	0.2796799479	0.0000464159	8	2000	15000	4
4	0.8800000000	-1.4593828512	0.0002208719	0.9275076687	0.0048519247	0.4818527352	0.0008675735	0.2825366862	0.0000501162	8	2000	15000	4
5	0.8900000000	-1.4506687825	0.0001579009	0.9482799790	0.0063553777	0.4758656837	0.0006383985	0.2853010959	0.0000428646	8	2000	15000	4
6	0.9000000000	-1.4409792479	0.0001746449	0.9599482598	0.0069870255	0.4666712308	0.0008140197	0.2882708225	0.0000387660	8	2000	15000	4
7	0.9100000000	-1.4313399492	0.0002128126	0.9872986702	0.0086069103	0.4585046788	0.0009139536	0.2911728660	0.0000415890	8	2000	15000	4
8	0.9200000000	-1.4210306087	0.0004341582	1.0225288406	0.0073408012	0.4477683880	0.0017369341	0.2942758102	0.0000777848	8	2000	15000	4
9	0.9300000000	-1.4113151172	0.0002082083	1.0416714442	0.0064349312	0.4388853079	0.0008924349	0.2972735424	0.0000482201	8	2000	15000	4
10	0.9400000000	-1.3999078723	0.0004986135	1.0772359917	0.0087617033	0.4248263054	0.0016537861	0.3005343822	0.0001001504	8	2000	15000	4
11	0.9500000000	-1.3890275893	0.0004009025	1.1005990248	0.0080347957	0.4124694587	0.0013039950	0.3038926505	0.0000961956	8	2000	15000	4
12	0.9600000000	-1.3780271557	0.0002713463	1.1363147766	0.0056785458	0.4029246449	0.0009356378	0.3072199219	0.0000566873	8	2000	15000	4
13	0.9700000000	-1.3663051533	0.0003976828	1.1693894820	0.0088665163	0.3916819804	0.0016228419	0.3107230903	0.0000683618	8	2000	15000	4
14	0.9800000000	-1.3535607270	0.0006666941	1.2275079970	0.0126679195	0.3734072045	0.0025736967	0.3144612341	0.0001507891	8	2000	15000	4
15	0.9900000000	-1.3421908630	0.0005071704	1.2372108591	0.0107816587	0.3623862958	0.0019500750	0.3179145978	0.0001135148	8	2000	15000	4
16	1.0000000000	-1.3298046801	0.0006544162	1.2885867257	0.0118408475	0.3493795656	0.0024202652	0.3216876519	0.0001447428	8	2000	15000	4
17	1.0100000000	-1.3166635490	0.0002731869	1.3269073763	0.0101406968	0.3343397569	0.0010314216	0.3255947989	0.0000779772	8	2000	15000	4
18	1.0200000000	-1.3022223042	0.0004771502	1.3666866157	0.0111282220	0.3148991290	0.0017811322	0.3298794633	0.0001105712	8	2000	15000	4
19	1.0300000000	-1.2887099376	0.0008550704	1.4171002020	0.0132118043	0.3009143929	0.0031297143	0.3339600911	0.0002146184	8	2000	15000	4
20	1.0400000000	-1.2741738906	0.0010931588	1.4511093552	0.0167532292	0.2819615571	0.0036807945	0.3383401295	0.0002484791	8	2000	15000	4
21	1.0500000000	-1.2603443513	0.0005918933	1.4697932494	0.0099459738	0.2663063250	0.0020487537	0.3425623372	0.0001312406	8	2000	15000	4
22	1.0600000000	-1.2450456976	0.0007417892	1.4944189340	0.0153928901	0.2472298524	0.0029219555	0.3471033890	0.0001666355	8	2000	15000	4
23	1.0700000000	-1.2291195100	0.0004473038	1.5002841308	0.0145824032	0.2245234711	0.0019746869	0.3518486111	0.0000833560	8	2000	15000	4
24	1.0800000000	-1.2150490653	0.0007843617	1.5118765860	0.0112267104	0.2108843513	0.0021328419	0.3562965603	0.0001812552	8	2000	15000	4
25	1.0900000000	-1.2002872063	0.0005340793	1.5117431874	0.0095057969	0.1955503945	0.0017950853	0.3609441479	0.0001209674	8	2000	15000	4
26	1.1000000000	-1.1850287505	0.0005917785	1.5005100757	0.0125111766	0.1801452156	0.0017885044	0.3656621275	0.0001566292	8	2000	15000	4
27	1.1100000000	-1.1699785360	0.0005314296	1.4636174233	0.0079999874	0.1623959872	0.0024791749	0.3703978299	0.0001398755	8	2000	15000	4
28	1.1200000000	-1.1555976921	0.0007302562	1.4541614837	0.0088402684	0.1503027430	0.0020855845	0.3750498155	0.0001902439	8	2000	15000	4
29	1.1300000000	-1.1407971438	0.0005326263	1.4256915194	0.0099506204	0.1355474980	0.0016880504	0.3798039496	0.0001502711	8	2000	15000	4
30	1.1400000000	-1.1274846131	0.0004839951	1.3846555983	0.0065722257	0.1247972571	0.0009531518	0.3842517325	0.0001359880	8	2000	15000	4
