idx	T	rep	seed	E	C	M2	A
1	0.8500000000	1	24112722	-1.4855109300	0.8789299723	0.5018690841	0.2744750289
1	0.8500000000	2	24217451	-1.4863567833	0.8673524996	0.5067005891	0.2743326389
1	0.8500000000	3	24322180	-1.4863631778	0.8602878581	0.5073690763	0.2742692708
1	0.8500000000	4	24426909	-1.4853750916	0.8685238901	0.5048862847	0.2745131366
1	0.8500000000	5	24531638	-1.4874842856	0.8642261770	0.5085295571	0.2740379051
1	0.8500000000	6	24636367	-1.4860843865	0.8650918444	0.5050845552	0.2743980613
1	0.8500000000	7	24741096	-1.4857397889	0.8865697649	0.5070987090	0.2743355903
1	0.8500000000	8	24845825	-1.4873717238	0.8644701363	0.5129204587	0.2739442130
2	0.8600000000	1	24120641	-1.4770899996	0.8855770165	0.4953306698	0.2770058738
2	0.8600000000	2	24225370	-1.4781508675	0.8709112050	0.4984127715	0.2767243345
2	0.8600000000	3	24330099	-1.4782194293	0.8900993791	0.5037803862	0.2770046586
2	0.8600000000	4	24434828	-1.4765998250	0.8959085248	0.4999354976	0.2770805266
2	0.8600000000	5	24539557	-1.4773421301	0.8651051244	0.4973855670	0.2769745660
2	0.8600000000	6	24644286	-1.4766984625	0.9074662793	0.4943500109	0.2770389757
2	0.8600000000	7	24749015	-1.4785672493	0.8601315730	0.5041916441	0.2767688947
2	0.8600000000	8	24853744	-1.4779916605	0.8796970690	0.5016089409	0.2768113137
3	0.8700000000	1	24128560	-1.4685956503	0.9035101381	0.4918853197	0.2797346644
3	0.8700000000	2	24233289	-1.4693274394	0.8825196301	0.4949643863	0.2795499421
3	0.8700000000	3	24338018	-1.4679380559	0.9082736044	0.4917819819	0.2799486111
3	0.8700000000	4	24442747	-1.4684644570	0.8999268109	0.4919751516	0.2796106192
3	0.8700000000	5	24547476	-1.4690880071	0.9013233699	0.4957431617	0.2796365162
3	0.8700000000	6	24652205	-1.4681633498	0.9019325022	0.4908116270	0.2797609086
3	0.8700000000	7	24756934	-1.4692619187	0.9070579534	0.4947537961	0.2796328704
3	0.8700000000	8	24861663	-1.4692188388	0.8977721800	0.4942309397	0.2795654514
4	0.8800000000	1	24136479	-1.4598675636	0.9102202120	0.4824188420	0.2824379630
4	0.8800000000	2	24241208	-1.4582801521	0.9481241012	0.4772223471	0.2827031539
4	0.8800000000	3	24345937	-1.4601611832	0.9164026545	0.4854494237	0.2823572627
4	0.8800000000	4	24450666	-1.4597563145	0.9297162624	0.4833937757	0.2824307581
4	0.8800000000	5	24555395	-1.4592288590	0.9387420048	0.4797673486	0.2825352431
4	0.8800000000	6	24660124	-1.4596026526	0.9380312397	0.4820512385	0.2825217593
4	0.8800000000	7	24764853	-1.4594598459	0.9264192778	0.4818356229	0.2825268229
4	0.8800000000	8	24869582	-1.4587062389	0.9124055969	0.4826832833	0.2827805266
5	0.8900000000	1	24144398	-1.4502939493	0.9680026052	0.4726175038	0.2852967593
5	0.8900000000	2	24249127	-1.4511178715	0.9405215812	0.4776214558	0.2850935475
5	0.8900000000	3	24353856	-1.4507631736	0.9304652963	0.4769251442	0.2853612558
5	0.8900000000	4	24458585	-1.4499122446	0.9413813961	0.4752511850	0.2854348380
5	0.8900000000	5	24563314	-1.4512681692	0.9241674107	0.4765335822	0.2851875579
5	0.8900000000	6	24668043	-1.4507487035	0.9740015324	0.4757414023	0.2854520544
5	0.8900000000	7	24772772	-1.4503961822	0.9622967057	0.4742333184	0.2853261863
5	0.8900000000	8	24877501	-1.4508499658	0.9454033046	0.4780018779	0.2852565683
6	0.9000000000	1	24152317	-1.4409923678	0.9234625779	0.4681185588	0.2882370949
6	0.9000000000	2	24257046	-1.4400513047	0.9783532580	0.4627802442	0.2884388021
6	0.9000000000	3	24361775	-1.4411548215	0.9562733503	0.4691787196	0.2882775174
6	0.9000000000	4	24466504	-1.4408324067	0.9632148252	0.4671235994	0.2882233218
6	0.9000000000	5	24571233	-1.4417701324	0.9762204251	0.4684799398	0.2881675926
6	0.9000000000	6	24675962	-1.4413380713	0.9388405480	0.4668776527	0.2881174190
6	0.9000000000	7	24780691	-1.4407954392	0.9662544127	0.4672579488	0.2883024306
6	0.9000000000	8	24885420	-1.4408994393	0.9769666810	0.4635531827	0.2884024016
7	0.9100000000	1	24160236	-1.4313958864	0.9808710730	0.4605281420	0.2912290220
7	0.9100000000	2	24264965	-1.4323631527	0.9408381414	0.4618630500	0.2909431713
7	0.9100000000	3	24369694	-1.4302919858	0.9896680275	0.4571895107	0.2912873264
7	0.9100000000	4	24474423	-1.4313192483	1.0208971211	0.4593284287	0.2912264178
7	0.9100000000	5	24579152	-1.4308869244	1.0063658469	0.4581050370	0.2912945023
