# idx	T	E_mean	E_sem	C_mean	C_sem	M2_mean	M2_sem	A_mean	A_sem	n_rep	Burn_in	Total_Step	Sample
1	2.1200000000	-1.6419391276	0.0002502675	1.0280588909	0.0084848880	0.7364940571	0.0005040564	0.1155839132	0.0000919530	8	2000	15000	4
2	2.1300000000	-1.6317561442	0.0002900785	1.0593624891	0.0041086204	0.7257695562	0.0004358533	0.1192439697	0.0001124624	8	2000	15000	4
3	2.1400000000	-1.6209255452	0.0001958488	1.1061415096	0.0065551262	0.7143512556	0.0005603795	0.1231426616	0.0000747091	8	2000	15000	4
4	2.1500000000	-1.6099255615	0.0003427566	1.1380848977	0.0068907959	0.7026052290	0.0006360409	0.1271309672	0.0001176489	8	2000	15000	4
5	2.1600000000	-1.5980750325	0.0004791341	1.1847032143	0.0106917485	0.6893350572	0.0010366408	0.1314436239	0.0001706250	8	2000	15000	4
6	2.1700000000	-1.5861896973	0.0003032372	1.2230256858	0.0112755418	0.6756532565	0.0007699984	0.1357778626	0.0001154946	8	2000	15000	4
7	2.1800000000	-1.5728227214	0.0003127688	1.2946666067	0.0059025518	0.6584940358	0.0008378240	0.1406667257	0.0001177193	8	2000	15000	4
8	2.1900000000	-1.5605243408	0.0004207455	1.3298604471	0.0129972274	0.6442802618	0.0010036885	0.1452071289	0.0001505867	8	2000	15000	4
9	2.2000000000	-1.5460554606	0.0003638234	1.4226380274	0.0105010348	0.6239909103	0.0008932744	0.1505200073	0.0001297421	8	2000	15000	4
10	2.2100000000	-1.5324029541	0.0001930710	1.4423512268	0.0062781877	0.6073193608	0.0004793899	0.1555780741	0.0000686092	8	2000	15000	4
11	2.2200000000	-1.5168042806	0.0006999750	1.5356464033	0.0160178861	0.5848735777	0.0017968839	0.1613583374	0.0002480671	8	2000	15000	4
12	2.2300000000	-1.5013193848	0.0007215267	1.5962087838	0.0127285014	0.5637355230	0.0020958689	0.1671031291	0.0002573519	8	2000	15000	4
13	2.2400000000	-1.4852644613	0.0006005509	1.6713177360	0.0132357609	0.5390000528	0.0017332977	0.1731036031	0.0002070099	8	2000	15000	4
14	2.2500000000	-1.4672463460	0.0003571383	1.7491764610	0.0104924438	0.5110285091	0.0011087163	0.1798182902	0.0001285485	8	2000	15000	4
15	2.2600000000	-1.4497233643	0.0006923706	1.8039338210	0.0180199268	0.4839605758	0.0018910727	0.1864262919	0.0002526046	8	2000	15000	4
16	2.2700000000	-1.4327560140	0.0006963022	1.8337707906	0.0134600703	0.4575108354	0.0017531013	0.1927971782	0.0002603438	8	2000	15000	4
17	2.2800000000	-1.4140965902	0.0013116155	1.8749627330	0.0122506589	0.4280909567	0.0038467163	0.1998827413	0.0004898589	8	2000	15000	4
18	2.2900000000	-1.3958193848	0.0015329595	1.9036238179	0.0161069341	0.3994656593	0.0041307270	0.2067937073	0.0005573917	8	2000	15000	4
19	2.3000000000	-1.3751854980	0.0010159659	1.8993650852	0.0074425447	0.3636305005	0.0028318670	0.2147046387	0.0003823818	8	2000	15000	4
20	2.3100000000	-1.3566704834	0.0010747739	1.8815960843	0.0100676749	0.3351966010	0.0028501311	0.2217423238	0.0004037251	8	2000	15000	4
21	2.3200000000	-1.3387270996	0.0003084696	1.8309221672	0.0085759312	0.3072066514	0.0006615481	0.2286552327	0.0001239192	8	2000	15000	4
22	2.3300000000	-1.3201208008	0.0006661496	1.7835179229	0.0081783310	0.2776632782	0.0021133423	0.2358660584	0.0002453253	8	2000	15000	4
23	2.3400000000	-1.3021008056	0.0006963867	1.7191357894	0.0087585230	0.2512138121	0.0017747553	0.2428104045	0.0002528659	8	2000	15000	4
24	2.3500000000	-1.2857300130	0.0008605505	1.6478981948	0.0089321794	0.2264529849	0.0023081259	0.2492562398	0.0003213217	8	2000	15000	4
25	2.3600000000	-1.2675107259	0.0006821524	1.5521910460	0.0080451030	0.1992401453	0.0021606556	0.2564049906	0.0002492597	8	2000	15000	4
26	2.3700000000	-1.2541583496	0.0005606984	1.4904317740	0.0073874405	0.1844596742	0.0016448133	0.2617682963	0.0002097248	8	2000	15000	4
27	2.3800000000	-1.2387301514	0.0007069649	1.4151195985	0.0096593852	0.1642937656	0.0019645036	0.2679017842	0.0002596467	8	2000	15000	4
28	2.3900000000	-1.2255946207	0.0003339268	1.3493681172	0.0091310570	0.1508349348	0.0011801703	0.2731900615	0.0001389255	8	2000	15000	4
29	2.4000000000	-1.2132595866	0.0002081409	1.2929216723	0.0075716235	0.1391674926	0.0005901755	0.2782700561	0.0000807269	8	2000	15000	4
30	2.4100000000	-1.2006434407	0.0004895878	1.2307328426	0.0061609620	0.1256607395	0.0011992068	0.2834118530	0.0001797119	8	2000	15000	4
