# idx	T	E_mean	E_sem	C_mean	C_sem	M2_mean	M2_sem	A_mean	A_sem	n_rep	Burn_in	Total_Step	Sample
1	0.8500000000	-1.4858287667	0.0001263784	0.8762723008	0.0037338677	0.4793436567	0.0006460508	0.2743120097	0.0000476534	8	2000	15000	4
2	0.8600000000	-1.4769314337	0.0001453971	0.8840258953	0.0030665085	0.4689135370	0.0012671122	0.2770617513	0.0000301325	8	2000	15000	4
3	0.8700000000	-1.4680297385	0.0002042642	0.9104326749	0.0031488031	0.4632954143	0.0016344237	0.2797945618	0.0000383923	8	2000	15000	4
4	0.8800000000	-1.4587094397	0.0001303111	0.9369278609	0.0041160689	0.4542599972	0.0007386689	0.2826114075	0.0000368452	8	2000	15000	4
5	0.8900000000	-1.4496803452	0.0001182754	0.9505270012	0.0054116532	0.4468653800	0.0008861427	0.2854109253	0.0000331377	8	2000	15000	4
6	0.9000000000	-1.4394782172	0.0002620538	0.9732601657	0.0051992389	0.4335343728	0.0014964763	0.2884669780	0.0000618703	8	2000	15000	4
7	0.9100000000	-1.4298573976	0.0002136222	1.0059015727	0.0069761765	0.4254635204	0.0010065186	0.2914159668	0.0000476687	8	2000	15000	4
8	0.9200000000	-1.4199433701	0.0002517729	1.0121886128	0.0043530847	0.4142176447	0.0013397589	0.2943979106	0.0000427318	8	2000	15000	4
9	0.9300000000	-1.4095658089	0.0001355573	1.0480978577	0.0071095821	0.4051374615	0.0009283097	0.2975797628	0.0000384618	8	2000	15000	4
10	0.9400000000	-1.3986319352	0.0003894126	1.0859664310	0.0097881373	0.3922543089	0.0018356589	0.3008151082	0.0000796247	8	2000	15000	4
11	0.9500000000	-1.3881343701	0.0001959165	1.1099191022	0.0083409207	0.3815619447	0.0016026611	0.3040672241	0.0000462812	8	2000	15000	4
12	0.9600000000	-1.3759633306	0.0003087660	1.1634661380	0.0103567999	0.3658455631	0.0018993623	0.3076417460	0.0000589579	8	2000	15000	4
13	0.9700000000	-1.3640500295	0.0001127178	1.2110337874	0.0094222262	0.3501119615	0.0012659708	0.3111699483	0.0000158533	8	2000	15000	4
14	0.9800000000	-1.3514412113	0.0003067903	1.2476188692	0.0103865838	0.3336543046	0.0022114865	0.3148822123	0.0000575776	8	2000	15000	4
15	0.9900000000	-1.3397550437	0.0003291612	1.2822172672	0.0071351075	0.3205495507	0.0018517099	0.3184502808	0.0000784795	8	2000	15000	4
16	1.0000000000	-1.3266590882	0.0005013732	1.3220144096	0.0115337904	0.3056897728	0.0028707554	0.3223133138	0.0001061971	8	2000	15000	4
17	1.0100000000	-1.3123596667	0.0004490032	1.3824641224	0.0187831809	0.2824343946	0.0024346983	0.3265013347	0.0000872901	8	2000	15000	4
18	1.0200000000	-1.2992525390	0.0005345724	1.4181119192	0.0146091644	0.2656618177	0.0028761891	0.3304818461	0.0001064315	8	2000	15000	4
19	1.0300000000	-1.2858128991	0.0005381826	1.4353577290	0.0100760374	0.2536199090	0.0026487827	0.3345515544	0.0001041437	8	2000	15000	4
20	1.0400000000	-1.2689388775	0.0007153332	1.5001633093	0.0125643340	0.2229169373	0.0032868767	0.3394056010	0.0001674161	8	2000	15000	4
21	1.0500000000	-1.2533130087	0.0006834238	1.5232491752	0.0195357468	0.1984672166	0.0031627912	0.3440650289	0.0001565269	8	2000	15000	4
22	1.0600000000	-1.2390563263	0.0006735067	1.5134356713	0.0096264564	0.1829879528	0.0030571133	0.3484447591	0.0001491541	8	2000	15000	4
23	1.0700000000	-1.2235848854	0.0007535098	1.4986123384	0.0059326115	0.1637154213	0.0037463099	0.3531084127	0.0001802281	8	2000	15000	4
24	1.0800000000	-1.2086951966	0.0004888381	1.4941980683	0.0083219212	0.1473997831	0.0025119992	0.3577204671	0.0001151799	8	2000	15000	4
25	1.0900000000	-1.1942669872	0.0006971104	1.4649770384	0.0106965637	0.1328883044	0.0025565200	0.3623118754	0.0001491615	8	2000	15000	4
26	1.1000000000	-1.1791998278	0.0008026688	1.4717341135	0.0049947830	0.1185314337	0.0028717751	0.3670422750	0.0001886678	8	2000	15000	4
27	1.1100000000	-1.1646593502	0.0004115959	1.4168317138	0.0148336092	0.1054378516	0.0013854121	0.3716553813	0.0001011659	8	2000	15000	4
28	1.1200000000	-1.1499765978	0.0004417910	1.3862284324	0.0090292702	0.0882982292	0.0011551176	0.3764038818	0.0000944919	8	2000	15000	4
29	1.1300000000	-1.1360259676	0.0005725089	1.3815703106	0.0119847182	0.0815767878	0.0014537976	0.3809973388	0.0001311579	8	2000	15000	4
30	1.1400000000	-1.1222814839	0.0002844408	1.3280186579	0.0084909251	0.0708490058	0.0009914233	0.3855030457	0.0000801927	8	2000	15000	4
