idx	T	rep	seed	E	C	M2	A
1	0.8500000000	1	32112746	-1.4857012073	0.8833151471	0.4787403575	0.2743734701
1	0.8500000000	2	32217475	-1.4862974032	0.8773637814	0.4793945472	0.2741501953
1	0.8500000000	3	32322204	-1.4859712078	0.8681378560	0.4813947015	0.2742851400
1	0.8500000000	4	32426933	-1.4858520404	0.8921629280	0.4819972770	0.2742729818
1	0.8500000000	5	32531662	-1.4862973730	0.8659643528	0.4801960444	0.2741600098
1	0.8500000000	6	32636391	-1.4856961647	0.8609056177	0.4788617110	0.2743753255
1	0.8500000000	7	32741120	-1.4855579566	0.8844056193	0.4765474756	0.2743065267
1	0.8500000000	8	32845849	-1.4852567808	0.8779231039	0.4776171394	0.2745724284
2	0.8600000000	1	32120665	-1.4769026035	0.8853939036	0.4698319013	0.2770377279
2	0.8600000000	2	32225394	-1.4767281337	0.8973932641	0.4689313186	0.2771899251
2	0.8600000000	3	32330123	-1.4770409944	0.8928161869	0.4695844164	0.2770500326
2	0.8600000000	4	32434852	-1.4773240652	0.8789113692	0.4724943419	0.2769224772
2	0.8600000000	5	32539581	-1.4765351919	0.8761527323	0.4716836472	0.2771229655
2	0.8600000000	6	32644310	-1.4772058928	0.8872806148	0.4654601413	0.2770372721
2	0.8600000000	7	32749039	-1.4762522300	0.8710095047	0.4618627625	0.2771371908
2	0.8600000000	8	32853768	-1.4774623578	0.8832495870	0.4714597664	0.2769964193
3	0.8700000000	1	32128584	-1.4688543680	0.8971671376	0.4657547406	0.2796588542
3	0.8700000000	2	32233313	-1.4671186603	0.9084477049	0.4552997697	0.2799147298
3	0.8700000000	3	32338042	-1.4684239602	0.9026770274	0.4677735846	0.2796979329
3	0.8700000000	4	32442771	-1.4682829598	0.9117681859	0.4651922915	0.2796739095
3	0.8700000000	5	32547500	-1.4676184084	0.9206607166	0.4576451939	0.2799135254
3	0.8700000000	6	32652229	-1.4676090330	0.9147300247	0.4681136554	0.2798991862
3	0.8700000000	7	32756958	-1.4684999299	0.9049283465	0.4639338545	0.2797811523
3	0.8700000000	8	32861687	-1.4678305880	0.9230822556	0.4626502246	0.2798172038
4	0.8800000000	1	32136503	-1.4591535253	0.9298132379	0.4536114768	0.2824790039
4	0.8800000000	2	32241232	-1.4586103094	0.9312998898	0.4517684384	0.2825218424
4	0.8800000000	3	32345961	-1.4590596825	0.9221063505	0.4553550815	0.2825536621
4	0.8800000000	4	32450690	-1.4582902842	0.9279627974	0.4548246640	0.2827146322
4	0.8800000000	5	32555419	-1.4589304413	0.9428810931	0.4531577615	0.2825379069
4	0.8800000000	6	32660148	-1.4589697577	0.9374107065	0.4582993411	0.2827752604
4	0.8800000000	7	32764877	-1.4584758935	0.9582170297	0.4521502040	0.2826706217
4	0.8800000000	8	32869606	-1.4581856235	0.9457317820	0.4549130103	0.2826383301
5	0.8900000000	1	32144422	-1.4491914690	0.9396532663	0.4411816106	0.2855423177
