# idx	T	E_mean	E_sem	C_mean	C_sem	M2_mean	M2_sem	A_mean	A_sem	n_rep	Burn_in	Total_Step	Sample
1	2.1200000000	-1.6417241609	0.0003025106	1.0372732403	0.0029670498	0.7377626002	0.0004528932	0.1156499421	0.0001008771	8	2000	15000	4
2	2.1300000000	-1.6318273872	0.0003385290	1.0564940964	0.0046744018	0.7283495586	0.0005929896	0.1192163122	0.0001273708	8	2000	15000	4
3	2.1400000000	-1.6213481192	0.0002539454	1.1025527734	0.0037330304	0.7169154661	0.0006043501	0.1230043113	0.0000951808	8	2000	15000	4
4	2.1500000000	-1.6100141493	0.0003453704	1.1397370882	0.0086074811	0.7054179322	0.0006373337	0.1270945095	0.0001181703	8	2000	15000	4
5	2.1600000000	-1.5982031684	0.0004200922	1.1765155884	0.0087248303	0.6925090787	0.0007476894	0.1313947518	0.0001409763	8	2000	15000	4
6	2.1700000000	-1.5862635996	0.0002677271	1.2164194106	0.0082999024	0.6791997293	0.0006431900	0.1358018048	0.0000932220	8	2000	15000	4
7	2.1800000000	-1.5741942419	0.0003890138	1.2670055456	0.0059162597	0.6657922698	0.0006881846	0.1401607313	0.0001400593	8	2000	15000	4
8	2.1900000000	-1.5615858941	0.0004650708	1.3038950177	0.0070723213	0.6522010936	0.0009625361	0.1447921079	0.0001602129	8	2000	15000	4
9	2.2000000000	-1.5466347801	0.0006895002	1.3976857769	0.0091574184	0.6317486250	0.0012241179	0.1502798213	0.0002392034	8	2000	15000	4
10	2.2100000000	-1.5330001592	0.0009312790	1.4241159413	0.0154073925	0.6156054743	0.0020211595	0.1553429073	0.0003514425	8	2000	15000	4
11	2.2200000000	-1.5188726707	0.0006172575	1.4823150839	0.0095798673	0.5979552243	0.0012863705	0.1605768048	0.0002313119	8	2000	15000	4
12	2.2300000000	-1.5042398582	0.0008222298	1.5282975810	0.0067708638	0.5799584362	0.0012826400	0.1660423032	0.0002950174	8	2000	15000	4
13	2.2400000000	-1.4880453848	0.0006110814	1.5721650876	0.0100864510	0.5580468563	0.0013497345	0.1720605830	0.0002263804	8	2000	15000	4
14	2.2500000000	-1.4731992911	0.0007629404	1.6176913451	0.0101168687	0.5381550969	0.0015623004	0.1776795356	0.0002574234	8	2000	15000	4
15	2.2600000000	-1.4561372106	0.0004603236	1.6591223816	0.0088450300	0.5158971887	0.0010280417	0.1840555772	0.0001786146	8	2000	15000	4
16	2.2700000000	-1.4375130498	0.0008001080	1.7111491073	0.0083399695	0.4884553006	0.0018610356	0.1911233615	0.0002936463	8	2000	15000	4
17	2.2800000000	-1.4215837529	0.0006306868	1.7454117932	0.0104157999	0.4673723189	0.0013443635	0.1971380208	0.0002310732	8	2000	15000	4
18	2.2900000000	-1.4043032263	0.0008269219	1.7481206184	0.0066340872	0.4446398288	0.0019068168	0.2036827293	0.0003076541	8	2000	15000	4
19	2.3000000000	-1.3852741464	0.0006010573	1.7659106700	0.0108896934	0.4151025066	0.0012892501	0.2109499530	0.0002253255	8	2000	15000	4
20	2.3100000000	-1.3695531250	0.0004027583	1.7438239965	0.0068954340	0.3961703035	0.0009207982	0.2169652235	0.0001435623	8	2000	15000	4
21	2.3200000000	-1.3530690393	0.0007507582	1.7283762022	0.0040146177	0.3730752275	0.0018098236	0.2233185872	0.0003008923	8	2000	15000	4
22	2.3300000000	-1.3344347656	0.0009755015	1.7179641697	0.0067137623	0.3464034833	0.0022562773	0.2305397533	0.0003624588	8	2000	15000	4
23	2.3400000000	-1.3186306858	0.0009586998	1.6784436654	0.0056097835	0.3266383006	0.0021567739	0.2367289062	0.0003715561	8	2000	15000	4
24	2.3500000000	-1.3002286892	0.0010020600	1.6485690467	0.0053503894	0.3007478614	0.0020834987	0.2438779623	0.0003798758	8	2000	15000	4
25	2.3600000000	-1.2849374132	0.0008179342	1.5854834809	0.0082202250	0.2805256651	0.0021103555	0.2499122251	0.0003142066	8	2000	15000	4
26	2.3700000000	-1.2699218171	0.0005588732	1.5455201731	0.0088798013	0.2627811513	0.0009714700	0.2558773438	0.0002137476	8	2000	15000	4
27	2.3800000000	-1.2536563223	0.0008033204	1.4871841647	0.0080244062	0.2401184524	0.0015846314	0.2623368671	0.0003125894	8	2000	15000	4
28	2.3900000000	-1.2383104745	0.0007423705	1.4242462447	0.0036316746	0.2219206700	0.0016073184	0.2684159107	0.0002686616	8	2000	15000	4
29	2.4000000000	-1.2244833333	0.0010304135	1.3687993358	0.0102705276	0.2067250454	0.0022855966	0.2740397461	0.0004099330	8	2000	15000	4
30	2.4100000000	-1.2109050203	0.0004980216	1.3144266547	0.0059024306	0.1911833322	0.0011135389	0.2795576497	0.0001816836	8	2000	15000	4
